owner_id,name,drive_license,address,phone
1,Николаева Елена Валентиновна,91 24 126225,"д. Ребриха, ул. Студенческая, д. 93, 838637",84026542351
2,Мечислав Евсеевич Константинов,21 58 201414,"д. Гремячинск (Бурят.), ул. Кирова, д. 4 к. 503, 316475",+7 (553) 419-28-32
3,Тамара Дмитриевна Зимина,69 58 383060,"п. Архыз, пр. Флотский, д. 639 к. 77, 242388",+79696532871
4,Вишнякова Наталья Эльдаровна,16 24 260265,"с. Шамары, пер. Ударный, д. 518 к. 2, 627048",+7 (814) 893-25-28
5,Адам Брониславович Гущин,77 10 728038,"п. Беслан, пер. Крестьянский, д. 971, 278248",86383465787
6,Лебедев Харитон Давыдович,25 41 335612,"г. Яхрома, алл. Профсоюзная, д. 951, 473829",87376311656
7,Лапин Валерьян Ануфриевич,62 69 864491,"ст. Вуктыл, алл. Окружная, д. 3/7, 473178",+7 080 132 67 73
8,Никита Евсеевич Гущин,61 17 272634,"с. Усть-Кулом, бул. Станиславского, д. 53 стр. 90, 500978",8 (208) 121-9136
9,Волкова Юлия Артемовна,25 82 358175,"к. Карабулак, бул. Матросова, д. 74 стр. 84, 107991",+7 838 425 13 54
10,Антонова Эмилия Станиславовна,30 66 974244,"клх Воркута, наб. Пограничная, д. 582, 935348",8 (401) 640-05-24
11,Шилова Агафья Вадимовна,30 66 678478,"д. Астрахань, пер. Тенистый, д. 3/1 к. 6, 533158",8 923 226 02 56
12,Филатов Велимир Тарасович,95 41 379766,"п. Камышлов, наб. Маяковского, д. 13 к. 66, 145868",8 014 294 0196
13,Панфилова Валерия Натановна,54 50 557592,"г. Салехард, пер. Курортный, д. 7, 595148",+76564823662
14,Август Ефимьевич Дмитриев,88 82 415568,"ст. Челюскин, бул. Космонавтов, д. 8/8 стр. 88, 148951",+7 (433) 200-3791
15,Терентьева Мария Святославовна,68 63 760356,"п. Адыгейск, ш. Шмидта, д. 92, 083172",8 (889) 579-86-87
